reported_name,accepted_name,species_name
Chamaecrista_absus,Chamaecrista_absus,Chamaecrista_absus
Chamaecrista_absus_var_absus,Chamaecrista_absus,Chamaecrista_absus
Chamaecrista_absus_var_meonandra,Chamaecrista_absus,Chamaecrista_absus
Chamaecrista_acicularis,Chamaecrista_acicularis,Chamaecrista_acicularis
Chamaecrista_acosmifolia,Chamaecrista_acosmifolia,Chamaecrista_acosmifolia
Chamaecrista_acosmifolia_var_acosmifolia,Chamaecrista_acosmifolia,Chamaecrista_acosmifolia
Chamaecrista_acosmifolia_var_euryloba,Chamaecrista_acosmifolia,Chamaecrista_acosmifolia
Chamaecrista_acosmifolia_var_oropedii,Chamaecrista_acosmifolia,Chamaecrista_acosmifolia
Chamaecrista_adamantina,Chamaecrista_adamantina,Chamaecrista_adamantina
Chamaecrista_adenophora,Chamaecrista_adenophora,Chamaecrista_adenophora
Chamaecrista_adenophylla,Chamaecrista_adenophylla,Chamaecrista_adenophylla
Chamaecrista_adiantifolia,Chamaecrista_adiantifolia,Chamaecrista_adiantifolia
Chamaecrista_adiantifolia_var_adiantifolia,Chamaecrista_adiantifolia_var_adiantifolia,Chamaecrista_adiantifolia
Chamaecrista_adiantifolia_var_pteridophylla,Chamaecrista_adiantifolia_var_pteridophylla,Chamaecrista_adiantifolia
Chamaecrista_africana,Chamaecrista_africana,Chamaecrista_africana
Chamaecrista_aiarana,Chamaecrista_aiarana,Chamaecrista_aiarana
Chamaecrista_aldabrensis,Chamaecrista_aldabrensis,Chamaecrista_aldabrensis
Chamaecrista_almanegra,Chamaecrista_almanegra,Chamaecrista_almanegra
Chamaecrista_altoana,Chamaecrista_altoana,Chamaecrista_altoana
Chamaecrista_amabilis,Chamaecrista_amabilis,Chamaecrista_amabilis
Chamaecrista_amambaya,Chamaecrista_amambaya,Chamaecrista_amambaya
Chamaecrista_amiciella,Chamaecrista_amiciella,Chamaecrista_amiciella
Chamaecrista_amorimii,Chamaecrista_amorimii,Chamaecrista_amorimii
Chamaecrista_anamariae,Chamaecrista_anamariae,Chamaecrista_anamariae
Chamaecrista_anceps,Chamaecrista_anceps,Chamaecrista_anceps
Chamaecrista_andersonii,Chamaecrista_andersonii,Chamaecrista_andersonii
Chamaecrista_andromedea,Chamaecrista_andromedea,Chamaecrista_andromedea
Chamaecrista_anfracta,Chamaecrista_anfracta,Chamaecrista_anfracta
Chamaecrista_ankaratrensis,Chamaecrista_ankaratrensis,Chamaecrista_ankaratrensis
Chamaecrista_apoucouita,Chamaecrista_apoucouita,Chamaecrista_apoucouita
Chamaecrista_arachiphylla,Chamaecrista_arachiphylla,Chamaecrista_arachiphylla
Chamaecrista_arboae,Chamaecrista_arboae,Chamaecrista_arboae
Chamaecrista_arenicola,Chamaecrista_arenicola,Chamaecrista_arenicola
Chamaecrista_arenicola_subsp_arenicola,Chamaecrista_arenicola_subsp_arenicola,Chamaecrista_arenicola
Chamaecrista_arenicola_subsp_dunensis,Chamaecrista_arenicola_subsp_dunensis,Chamaecrista_arenicola
Chamaecrista_aristata,Chamaecrista_aristata,Chamaecrista_aristata
Chamaecrista_arrojadoana,Chamaecrista_arrojadoana,Chamaecrista_arrojadoana
Chamaecrista_papillata,Chamaecrista_arrojadoana,Chamaecrista_arrojadoana
Chamaecrista_aspidiifolia,Chamaecrista_aspidiifolia,Chamaecrista_aspidiifolia
Chamaecrista_aspleniifolia,Chamaecrista_aspleniifolia,Chamaecrista_aspleniifolia
Chamaecrista_centiflora,Chamaecrista_astrochiton,Chamaecrista_astrochiton
Chamaecrista_atroglandulosa,Chamaecrista_atroglandulosa,Chamaecrista_atroglandulosa
Chamaecrista_auris-zerdae,Chamaecrista_auris-zerdae,Chamaecrista_auris-zerdae
Chamaecrista_aurivilla,Chamaecrista_aurivilla,Chamaecrista_aurivilla
Chamaecrista_axilliflora,Chamaecrista_axilliflora,Chamaecrista_axilliflora
Chamaecrista_azulana,Chamaecrista_azulana,Chamaecrista_azulana
Chamaecrista_bahiae,Chamaecrista_bahiae,Chamaecrista_bahiae
