species,height_m,media_lma,sd_lma,carbon_nitrogen,nitrogen_leaf,xylopodium,leaf_area,leaf_mass,bio17_mean,bio17_sd,bio18_mean,bio18_sd,fire_mean,fire_sd,nitro_mean,nitro_sd,Amazon,Cerrado,Caatinga,CampoRupestre,AtlanticForest,CentralAmerica,NorthAmerica,ExtraAmerica,elevation_m,geographic_range,nearby_life_history,nearby_phy_distance,target
Chamaecrista_anceps,0.3,118.6669136,7.265169681,40.91508435,0.0137,present,2.9485,0.0353,45586,1.219989326,635.68,7.394000926,0.01336,0.001315782,218.4534683,4.027529923,0,0,0,1,0,0,0,0,1348,0.5291010855,late_perennial,10.35688,NA
Chamaecrista_aristata,2.0,131.0003153,29.43133104,32.10125354,0.01605,present,11349,0.12515,21478,0.789644292,367216,4.723021973,0.01232,0.001180178,157.0214683,1.055163888,0,0,0,1,0,0,0,0,848,0.8049673605,late_perennial,19.32239,late_perennial
Chamaecrista_arrojadoana,0.7,167.5670926,28.92916373,44.78468179,0.01265,present,6769,0.1027,63282,2.187907409,526094,6.638435054,0.04004,0.003149323,195.9994683,2.127953779,0,0,0,1,0,0,0,0,1113.5,8.449010306,late_perennial,14.88614,NA
Chamaecrista_basifolia,0.9,NA,NA,NA,NA,absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,892,155.0898894,annual,4.73784,NA
Chamaecrista_biensis,NA,NA,NA,NA,NA,absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1274,231.3745611,annual,7.27969,NA
Chamaecrista_blanchetii,3.5,134.6438113,58.49223603,33.28396792,0.014575,present,6012,0.07855,111.02,3.711224269,320546,3.872517599,0.01054,0.001175492,186.5094683,2.418381146,0,0,0,1,1,0,0,0,921,398.6409149,late_perennial,9.35783,NA
Chamaecrista_brachystachya,2.5,170.5398517,38.30841375,43.95216175,0.01145,absent,7.6465,0.12375,60334,2.339625736,353136,6.765753902,0.00746,0.001070415,175.7494683,2.181574764,0,0,1,1,1,0,0,0,978,405.3491048,late_perennial,3.0864,NA
Chamaecrista_burchellii,0.5,116.7009727,5.049320676,25.06232879,0.01955,present,15.12,178,15822,0.302952459,420054,3.296167412,0.02504,0.001896415,140.8774683,1.110877084,0,1,0,0,0,0,0,0,529.5,0.9847416805,late_perennial,14.88614,NA
Chamaecrista_calycioides,0.4,57.30522144,17.81591608,15.4452311,0.030325,absent,2.6475,0.0195,23352,1.379323479,179716,6.305039392,0.01776,0.001801459,115.9354683,1.319081249,1,1,1,0,1,1,1,0,299,1298.457871,late_perennial,25.82835,annual
Chamaecrista_cardiostegia,0.5,91.63000294,17.79183362,31.04735887,0.018125,present,8.4625,71,61302,2.455656754,556438,9.210390812,0.05126,0.002501227,173.4354683,1.992815601,0,1,0,1,0,0,0,0,1162,39.13160145,late_perennial,12.67438,NA
