species,code
Batesia_floribunda,100000000
Chamaecrista_absus,111111101
Chamaecrista_acosmifolia,011100000
Chamaecrista_adamantina,010100000
Chamaecrista_adenophora,010110000
Chamaecrista_adiantifoliia,100000000
Chamaecrista_altoana,000100000
Chamaecrista_amorimii,000010000
Chamaecrista_anamariae,000100000
Chamaecrista_anceps,000100000
Chamaecrista_adenophylla,000100000
Chamaecrista_amiciella,001000000
Chamaecrista_andersonii,010000000
Chamaecrista_andromedea,000100000
Chamaecrista_anfracta,000100000
Chamaecrista_arboae,000100000
Chamaecrista_aristata,000100000
Chamaecrista_arrojadoana,000100000
Chamaecrista_acicularis,000100000
Chamaecrista_aspleniifolia,000010000
Chamaecrista_aurivilla,000100000
Chamaecrista_auris_zerdae,010100000
Chamaecrista_azulana,010000000
Chamaecrista_bahiae,100010000
Chamaecrista_barbata,001000000
Chamaecrista_basifolia,010000000
Chamaecrista_belemii,001000000
Chamaecrista_belladonna,010100000
Chamaecrista_benthamiana,010000000
Chamaecrista_biensis,000000001
Chamaecrista_blanchetii,000110000
Chamaecrista_botryoides,000100000
Chamaecrista_brachyblepharis,010000000
Chamaecrista_brachyrachys,010000000
Chamaecrista_brachystachya,001110000
Chamaecrista_bracteolata,000100000
Chamaecrista_brevicalyx,011000000
Chamaecrista_bucherae,000001000
Chamaecrista_burchellii,010000000
Chamaecrista_caespitosa,000100000
Chamaecrista_caiapo,010000000
Chamaecrista_calycioides,111011100
Chamaecrista_campestris,110000000
Chamaecrista_campicola,010000000
Chamaecrista_cardiostegia,010100000
Chamaecrista_caribaea,000001000
Chamaecrista_carobinha,001000000
Chamaecrista_caspariifolia,010000000
Chamaecrista_catapodia,000100000
Chamaecrista_cathartica,010100000
Chamaecrista_catharticoides,000010000
Chamaecrista_cavalcantina,010000000
Chamaecrista_celiae,010100000
Chamaecrista_chapadae,000100000
Chamaecrista_chaetostegia,010100000
Chamaecrista_choriophylla,000100000
Chamaecrista_chrysosepala,010100000
Chamaecrista_ciliolata,010100000
Chamaecrista_cinerascens,000100000
Chamaecrista_claussenii,010100000
Chamaecrista_compitalis,000010000
Chamaecrista_conferta,010100000
Chamaecrista_confertiformis,000100000
Chamaecrista_coradinii,010000000
Chamaecrista_coriacea,000100000
Chamaecrista_cotinifolia,010100000
Chamaecrista_cultrifolia,110000000
Chamaecrista_cytisoides,010100000
Chamaecrista_crenulata,010100000
Chamaecrista_cristalinae,010000000
Chamaecrista_crommyotricha,010000000
Chamaecrista_dalbergiifolia,010100000
Chamaecrista_dawsonii,010000000
Chamaecrista_debilis,010100000
Chamaecrista_decora,000100000
Chamaecrista_decumbens,010100000
Chamaecrista_densifolia,010000000
Chamaecrista_dentata,000100000
Chamaecrista_detonsa,010000000
Chamaecrista_depauperata,000100000
Chamaecrista_desvauxii,011010000
Chamaecrista_latistipula,011010000
Chamaecrista_didyma,100000000
Chamaecrista_diphylla,111010000
Chamaecrista_distichoclada,000100000
Chamaecrista_duartei,000010000
Chamaecrista_dumalis,010000000
Chamaecrista_duckeana,001000000
Chamaecrista_echinocarpa,000100000
Chamaecrista_egleri,100000000
Chamaecrista_elata,010100000
Chamaecrista_ensiformis,000010000
Chamaecrista_ericifolia,000100000
Chamaecrista_fagonioides,111010000
Chamaecrista_fasciculata,000000100
Chamaecrista_feliciana,010000000
Chamaecrista_filicifolia,010100000
Chamaecrista_flammata,000100000
Chamaecrista_flexuosa,111011100
Chamaecrista_floribunda,010100000
Chamaecrista_fodinarum,010100000
Chamaecrista_foederalis,010000000
Chamaecrista_geminata,010000000
Chamaecrista_glandulosa,111011000
Chamaecrista_glaucofilix,000100000
Chamaecrista_glaziovii,000100000
Chamaecrista_gonoclada,010000000
Chamaecrista_grantii,000000001
Chamaecrista_greggii,000000100
Chamaecrista_gumminans,000100000
Chamaecrista_gymnothyrsa,010100000
Chamaecrista_harmsiana,010100000
Chamaecrista_hedysaroides,000100000
Chamaecrista_hispidula,111011001
Chamaecrista_howardii,000100000
Chamaecrista_huntii,010000000
Chamaecrista_imbricans,010000000
Chamaecrista_incurvata,010100000
Chamaecrista_irwiniana,010100000
Chamaecrista_isidorea,010000000
Chamaecrista_jacobinea,000100000
