species,elev_med,elev_iqr,elev_q.25%,elev_q.75%
Chamaecrista_absus,338.5,688.75,156.25,845
Chamaecrista_acicularis,871.5,144.5,799.25,943.75
Chamaecrista_acosmifolia,684,321.75,498.75,820.5
Chamaecrista_adamantina,1202,55,1174.5,1229.5
Chamaecrista_adenophora,1107,66.5,1077.5,1144
Chamaecrista_adenophylla,1224,125.5,1152.5,1278
Chamaecrista_adiantifolia,97,111.75,81,192.75
Chamaecrista_altoana,1091.5,737.25,563.5,1300.75
Chamaecrista_amabilis,120,92,56,148
Chamaecrista_amambaya,248,18,239,257
Chamaecrista_amiciella,448.5,239.25,329.75,569
Chamaecrista_amorimii,77,37,49,86
Chamaecrista_anamariae,1296,243.75,1157.25,1401
Chamaecrista_anceps,1348,211.5,1139.5,1351
Chamaecrista_andersonii,382,4,380,384
Chamaecrista_andromedea,1329,164.5,1224,1388.5
Chamaecrista_apoucouita,111,234.5,70.5,305
Chamaecrista_arboae,1107.5,204,955.5,1159.5
Chamaecrista_aristata,848,214,729,943
Chamaecrista_arrojadoana,1113.5,425.5,882.25,1307.75
Chamaecrista_aspleniifolia,67,166,50.75,216.75
Chamaecrista_auris-zerdae,966.5,30.5,951.25,981.75
Chamaecrista_aurivilla,1125,493.25,718.75,1212
Chamaecrista_axilliflora,1011,161.25,969.75,1131
Chamaecrista_azulana,399,172.5,318,490.5
Chamaecrista_bahiae,47,60,31,91
Chamaecrista_barbata,744,324.5,524.5,849
Chamaecrista_basifolia,892,408,630,1038
Chamaecrista_belemii,449,473,372,845
Chamaecrista_belladonna,1082.5,160.75,995,1155.75
Chamaecrista_benthamiana,950.5,123,903.5,1026.5
Chamaecrista_benthamii,571,126,461,587
Chamaecrista_biensis,1274,436,1008,1444
Chamaecrista_bifoliola,1054,84,975,1059
Chamaecrista_blanchetii,921,501,604.5,1105.5
Chamaecrista_botryoides,1222,170.5,1131.5,1302
Chamaecrista_brachyrachys,1077,312.5,806.5,1119
Chamaecrista_brachystachya,978,372.5,774,1146.5
Chamaecrista_bracteolata,1239,73,1196,1269
Chamaecrista_brevicalyx,844.5,337.75,665.25,1003
Chamaecrista_bucherae,8,4,6,10
Chamaecrista_burchellii,529.5,109.25,510.25,619.5
Chamaecrista_caespitosa,1263,136,1198,1334
Chamaecrista_caiapo,719,110,715,825
Chamaecrista_calycioides,299,313,143,456
Chamaecrista_campestris,390,261,269,530
Chamaecrista_campicola,965,402,643.5,1045.5
Chamaecrista_cardiostegia,1162,308,952,1260
Chamaecrista_caribaea,5.5,7.25,2.5,9.75
Chamaecrista_carobinha,807.5,516.25,437.25,953.5
Chamaecrista_catapodia,1222,144,1121,1265
Chamaecrista_cathartica,980,416,783,1199
Chamaecrista_catharticoides,1324.5,69.5,1289.75,1359.25
Chamaecrista_catolesensis,1427.5,338,1266,1604
Chamaecrista_cavalcantina,695,186.75,587.75,774.5
Chamaecrista_celiae,983,315.25,806.25,1121.5
Chamaecrista_chaetostegia,1107,102.5,1045.5,1148
Chamaecrista_chamaecristoides,19,174.5,9.5,184
Chamaecrista_chapadae,999.5,168.5,952.75,1121.25
Chamaecrista_chiquitana,502.5,75.5,476.25,551.75
Chamaecrista_choriophylla,974.5,384.5,764.25,1148.75
Chamaecrista_chrysosepala,827,735,477,1212
Chamaecrista_ciliolata,912,396,696,1092
Chamaecrista_cinerascens,1295,358,988.5,1346.5
Chamaecrista_claussenii,854.5,420.5,693.75,1114.25
Chamaecrista_compitalis,67,83,42.75,125.75
Chamaecrista_conferta,1062,372.5,846.5,1219
Chamaecrista_confertiformis,1017,187,953.5,1140.5
Chamaecrista_coradinii,668,235,459.5,694.5
Chamaecrista_coriacea,1169,269,916.5,1185.5
Chamaecrista_cotinifolia,1022,462.5,756,1218.5
Chamaecrista_crenulata,451,709,374,1083
Chamaecrista_cristalinae,888,113,788.5,901.5
Chamaecrista_crommyotricha,1058.5,350.75,846.75,1197.5
Chamaecrista_cultrifolia,139,133,72.5,205.5
Chamaecrista_cuprea,409,258,406,664
Chamaecrista_cyclophylla,1028,131.25,955,1086.25
Chamaecrista_cytisoides,923,407.75,691,1098.75
Chamaecrista_dalbergiifolia,899.5,352.25,670.75,1023
Chamaecrista_dawsonii,1019,38,1000,1038
Chamaecrista_debilis,886,339,760,1099
Chamaecrista_decora,815,323.5,756.5,1080
Chamaecrista_decrescens,883,136,790.25,926.25
Chamaecrista_decumbens,1107,218.5,950.5,1169
Chamaecrista_densifolia,924,319.75,754.75,1074.5
Chamaecrista_dentata,1232.5,231.75,1087.5,1319.25
Chamaecrista_depauperata,1433,212,1314,1526
Chamaecrista_deserti,225,90,180,270
Chamaecrista_desvauxii,676.5,707.75,326.75,1034.5
Chamaecrista_detonsa,689,781,336,1117
Chamaecrista_didyma,261.5,242.75,192.75,435.5
Chamaecrista_diphylla,165,335,44.5,379.5
Chamaecrista_distichoclada,1257,138,1147,1285
Chamaecrista_duartei,49.5,59.25,34.75,94
Chamaecrista_duckeana,228,191,137,328
Chamaecrista_dumalis,410.5,121.25,337,458.25
Chamaecrista_echinocarpa,1197.5,111.75,1127.75,1239.5
Chamaecrista_eitenorum,441,316,289.75,605.75
Chamaecrista_elachistophylla,843.5,174.5,756.25,930.75
Chamaecrista_elata,1203,9,1198.5,1207.5
Chamaecrista_ensiformis,143,201.25,54.75,256
Chamaecrista_ericifolia,1357.5,35.5,1339.75,1375.25
Chamaecrista_exsudans,1280,121,1180.5,1301.5
Chamaecrista_fagonioides,531,537.5,356,893.5
Chamaecrista_fasciculata,953.5,909.5,325.5,1235
Chamaecrista_feliciana,902,411.25,751.25,1162.5
Chamaecrista_filicifolia,1044,316,794,1110
Chamaecrista_flammata,1263,184.25,1100.75,1285
Chamaecrista_flexuosa,507,613,198,811
Chamaecrista_floribunda,1202,124.75,1086.75,1211.5
Chamaecrista_fodinarum,749,72,746,818
Chamaecrista_foederalis,944,211.5,894.5,1106
Chamaecrista_forzzae,1047.5,269.75,877,1146.75
Chamaecrista_frondosa,1068,60.5,1041,1101.5
Chamaecrista_fulgida,998,306,888,1194
Chamaecrista_geminata,678,57.5,639.5,697
Chamaecrista_glandulosa,699,1240.5,121.5,1362
Chamaecrista_glaucofilix,999,89.25,966.75,1056
Chamaecrista_glaziovii,1208,245,1061,1306
Chamaecrista_glischrodes,1086.5,431.75,865.5,1297.25
Chamaecrista_gonoclada,487,163,479,642
Chamaecrista_gracilis,784,974,224,1198
Chamaecrista_grantii,1047,1149,485.25,1634.25
Chamaecrista_greggii,1184,1250,425,1675
Chamaecrista_gumminans,1089,270,908,1178
Chamaecrista_harmsiana,761,433,544.5,977.5
Chamaecrista_hassleri,443,356.5,265.25,621.75
Chamaecrista_hatschbachii,840.5,68,809.75,877.75
Chamaecrista_hedysaroides,1229,280.5,1066.5,1347
Chamaecrista_herpestia,1155,29,1140.5,1169.5
Chamaecrista_hispidula,158.5,364.5,37.25,401.75
Chamaecrista_huntii,735,167.5,631,798.5
Chamaecrista_hymenaeifolia,80,28.25,73.25,101.5
Chamaecrista_imbricans,1071,178,956.75,1134.75
Chamaecrista_incana,819.5,175.75,725.75,901.5
Chamaecrista_incurvata,1041,351.5,858,1209.5
Chamaecrista_irwiniana,1198.5,189,1139,1328
Chamaecrista_isidorea,675,361,485,846
Chamaecrista_itabiritoana,897,171.5,881,1052.5
Chamaecrista_itambana,1182.5,89.75,1136.5,1226.25
Chamaecrista_jacobinea,771,450,550.5,1000.5
Chamaecrista_juruenensis,375,300,283,583
Chamaecrista_kirkii,696,1073.5,378,1451.5
Chamaecrista_kleinii,947,0,947,947
Chamaecrista_kunthiana,510.5,670.75,165,835.75
Chamaecrista_labouriaeae,704.5,144,618.75,762.75
Chamaecrista_lagotois,921,130,827,957
Chamaecrista_lamprosperma,1257,63.5,1223.5,1287
Chamaecrista_langsdorffii,857,449.75,659,1108.75
Chamaecrista_latifolia,1278.5,181.25,1156,1337.25
Chamaecrista_latistipula,847,657,407,1064
Chamaecrista_lavradiiflora,1038,177.5,963.5,1141
Chamaecrista_lavradioides,1159.5,269.75,946.25,1216
Chamaecrista_leptadenia,1156,1054.75,597.75,1652.5
Chamaecrista_leucopilis,1284.5,79.25,1225,1304.25
Chamaecrista_linearis,830,496,511,1007
Chamaecrista_lineata,38.5,151.75,7.75,159.5
Chamaecrista_lomatopoda,946,198,776,974
Chamaecrista_longicuspis,1175.5,68.5,1141.25,1209.75
Chamaecrista_lundii,1075,232,915,1147
Chamaecrista_macedoi,827,292.5,654.5,947
Chamaecrista_machaeriifolia,988.5,549.5,576,1125.5
Chamaecrista_megacycla,727,298,579,877
Chamaecrista_microsenna,930.5,385.25,867.25,1252.5
Chamaecrista_mimosoides,201,190,61,251
Chamaecrista_mollicaulis,1000,11,998,1009
Chamaecrista_monticola,1260,142,1208,1350
Chamaecrista_mucronata,1015.5,443.5,812.25,1255.75
Chamaecrista_multinervia,841,243,738.25,981.25
