species,target
Chamaecrista_anceps,NA
Chamaecrista_aristata,late_perennial
Chamaecrista_arrojadoana,NA
Chamaecrista_basifolia,NA
Chamaecrista_biensis,NA
Chamaecrista_blanchetii,NA
Chamaecrista_brachystachya,NA
Chamaecrista_burchellii,NA
Chamaecrista_calycioides,annual
Chamaecrista_cardiostegia,NA
Chamaecrista_caribaea,NA
Chamaecrista_choriophylla,NA
Chamaecrista_cinerascens,NA
Chamaecrista_confertiformis,NA
Chamaecrista_coriacea,NA
Chamaecrista_cultrifolia,annual
Chamaecrista_cytisoides,NA
Chamaecrista_debilis,early_perennial
Chamaecrista_decora,late_perennial
Chamaecrista_depauperata,NA
Chamaecrista_desvauxii,NA
Chamaecrista_diphylla,annual
Chamaecrista_distichoclada,NA
Chamaecrista_duckeana,annual
Chamaecrista_fasciculata,annual
Chamaecrista_flexuosa,late_perennial
Chamaecrista_glandulosa,NA
Chamaecrista_gonoclada,NA
Chamaecrista_grantii,annual
Chamaecrista_greggii,NA
Chamaecrista_kirkii,NA
Chamaecrista_kleinii,NA
Chamaecrista_kunthiana,annual
Chamaecrista_lagotois,late_perennial
Chamaecrista_latifolia,NA
Chamaecrista_latistipula,early_perennial
Chamaecrista_leptadenia,annual
Chamaecrista_lineata,NA
Chamaecrista_mimosoides,annual
Chamaecrista_mucronata,NA
Chamaecrista_multinervia,NA
Chamaecrista_nictitans,annual
Chamaecrista_nigricans,annual
Chamaecrista_olesiphylla,NA
Chamaecrista_oligandra,NA
Chamaecrista_parvistipula,NA
Chamaecrista_pascuorum,NA
Chamaecrista_pilosa,annual
Chamaecrista_potentilla,late_perennial
Chamaecrista_pumila,annual
Chamaecrista_ramosa,early_perennial
Chamaecrista_repens,NA
Chamaecrista_roraimae,late_perennial
Chamaecrista_rossicorum,late_perennial
Chamaecrista_rotundata,NA
Chamaecrista_rotundifolia,annual
Chamaecrista_rufa,NA
Chamaecrista_serpens,annual
Chamaecrista_simplifacta,NA
Chamaecrista_supplex,annual
Chamaecrista_swainsonii,NA
Chamaecrista_tenuisepala,NA
Chamaecrista_tragacanthoides,NA
Chamaecrista_trichopoda,NA
Chamaecrista_ulmea,NA
Chamaecrista_unijuga,NA
Chamaecrista_venulosa,NA
Chamaecrista_wittei,annual
