Amazon,Cerrado,Caatinga,CampoRupestre,AtlanticForest,CentralAmerica,NorthAmerica,ExtraAmerica,species
0,0,0,1,0,0,0,0,Chamaecrista_anceps
0,0,0,1,0,0,0,0,Chamaecrista_aristata
0,0,0,1,0,0,0,0,Chamaecrista_arrojadoana
0,1,0,0,0,0,0,0,Chamaecrista_basifolia
0,0,0,0,0,0,0,1,Chamaecrista_biensis
0,0,0,1,1,0,0,0,Chamaecrista_blanchetii
0,0,1,1,1,0,0,0,Chamaecrista_brachystachya
0,1,0,0,0,0,0,0,Chamaecrista_burchellii
1,1,1,0,1,1,1,0,Chamaecrista_calycioides
0,1,0,1,0,0,0,0,Chamaecrista_cardiostegia
0,0,0,0,0,1,0,0,Chamaecrista_caribaea
0,0,0,1,0,0,0,0,Chamaecrista_choriophylla
0,0,0,1,0,0,0,0,Chamaecrista_cinerascens
0,0,0,1,0,0,0,0,Chamaecrista_confertiformis
0,0,0,1,0,0,0,0,Chamaecrista_coriacea
1,1,0,0,0,0,0,0,Chamaecrista_cultrifolia
0,1,0,1,0,0,0,0,Chamaecrista_cytisoides
0,1,0,1,0,0,0,0,Chamaecrista_debilis
0,0,0,1,0,0,0,0,Chamaecrista_decora
0,0,0,1,0,0,0,0,Chamaecrista_depauperata
0,1,1,0,1,0,0,0,Chamaecrista_desvauxii
0,1,1,0,1,0,0,0,Chamaecrista_latistipula
1,1,1,0,1,0,0,0,Chamaecrista_diphylla
0,0,0,1,0,0,0,0,Chamaecrista_distichoclada
0,0,1,0,0,0,0,0,Chamaecrista_duckeana
0,0,0,0,0,0,1,0,Chamaecrista_fasciculata
1,1,1,0,1,1,1,0,Chamaecrista_flexuosa
1,1,1,0,1,1,0,0,Chamaecrista_glandulosa
0,1,0,0,0,0,0,0,Chamaecrista_gonoclada
0,0,0,0,0,0,0,1,Chamaecrista_grantii
0,0,0,0,0,0,1,0,Chamaecrista_greggii
0,0,0,0,0,0,0,1,Chamaecrista_kleinii
0,0,0,0,0,0,0,1,Chamaecrista_kirkii
0,1,0,0,0,0,0,0,Chamaecrista_kunthiana
0,0,0,1,0,0,0,0,Chamaecrista_lagotois
0,0,0,1,0,0,0,0,Chamaecrista_latifolia
0,0,0,0,0,0,1,0,Chamaecrista_leptadenia
0,0,0,0,0,1,1,0,Chamaecrista_lineata
0,0,0,0,0,0,0,1,Chamaecrista_mimosoides
0,0,0,1,1,0,0,0,Chamaecrista_mucronata
0,0,0,1,0,0,0,0,Chamaecrista_multinervia
0,0,0,0,0,0,0,1,Chamaecrista_nigricans
1,1,1,0,1,1,1,0,Chamaecrista_nictitans
0,0,0,1,0,0,0,0,Chamaecrista_olesiphylla
0,1,0,0,0,0,0,0,Chamaecrista_oligandra
0,0,1,1,0,0,0,0,Chamaecrista_pascuorum
0,1,0,0,0,0,0,0,Chamaecrista_parvistipula
0,1,1,0,1,0,0,0,Chamaecrista_pilosa
0,0,0,1,0,0,0,0,Chamaecrista_potentilla
0,0,0,0,0,0,0,1,Chamaecrista_pumila
0,1,0,1,0,0,0,0,Chamaecrista_ramosa
1,1,1,0,1,0,0,0,Chamaecrista_repens
1,0,1,0,0,0,0,0,Chamaecrista_roraimae
0,0,0,1,0,0,0,0,Chamaecrista_rossicorum
0,0,0,1,0,0,0,0,Chamaecrista_rotundata
1,1,1,1,1,1,0,1,Chamaecrista_rotundifolia
1,1,1,1,1,1,0,1,Chamaecrista_rufa
1,1,1,0,1,1,0,1,Chamaecrista_serpens
0,0,0,1,0,0,0,0,Chamaecrista_simplifacta
1,1,1,0,0,0,0,0,Chamaecrista_supplex
0,0,1,1,0,0,0,0,Chamaecrista_swainsonii
0,0,1,0,0,0,0,0,Chamaecrista_tenuisepala
0,0,0,1,0,0,0,0,Chamaecrista_tragacanthoides
1,1,1,0,1,0,0,0,Chamaecrista_trichopoda
0,0,0,1,0,0,0,0,Chamaecrista_ulmea
0,0,0,0,1,0,0,0,Chamaecrista_unijuga
0,0,0,1,0,0,0,0,Chamaecrista_venulosa
0,0,0,0,0,0,0,1,Chamaecrista_wittei
