species,sister_life_history,phy_distance
Chamaecrista_anceps,late_perennial,10.35688
Chamaecrista_aristata,late_perennial,19.32239
Chamaecrista_arrojadoana,late_perennial,14.88614
Chamaecrista_basifolia,annual,4.73784
Chamaecrista_biensis,annual,7.27969
Chamaecrista_blanchetii,late_perennial,9.35783
Chamaecrista_brachystachya,late_perennial,3.0864
Chamaecrista_burchellii,late_perennial,14.88614
Chamaecrista_calycioides,late_perennial,25.82835
Chamaecrista_cardiostegia,late_perennial,12.67438
Chamaecrista_caribaea,annual,10.45465
Chamaecrista_choriophylla,late_perennial,6.1616
Chamaecrista_cinerascens,late_perennial,12.2588
Chamaecrista_confertiformis,late_perennial,7.13313
Chamaecrista_coriacea,late_perennial,19.39191
Chamaecrista_cultrifolia,early_perennial,5.39796
Chamaecrista_cytisoides,late_perennial,19.39191
Chamaecrista_debilis,late_perennial,43.89047
Chamaecrista_decora,early_perennial,43.89047
Chamaecrista_depauperata,late_perennial,10.62542
Chamaecrista_desvauxii,early_perennial,5.62583
Chamaecrista_diphylla,early_perennial,7.86226
Chamaecrista_distichoclada,late_perennial,12.32283
Chamaecrista_duckeana,annual,5.11815
Chamaecrista_fasciculata,annual,5.11815
Chamaecrista_flexuosa,late_perennial,29.88352
Chamaecrista_glandulosa,annual,2.0002
Chamaecrista_gonoclada,late_perennial,13.15628
Chamaecrista_grantii,annual,11.93555
Chamaecrista_greggii,late_perennial,29.00192
Chamaecrista_kirkii,annual,3.10886
Chamaecrista_kleinii,annual,13.63108
Chamaecrista_kunthiana,annual,26.64338
Chamaecrista_lagotois,late_perennial,9.92931
Chamaecrista_latifolia,late_perennial,4.24244
Chamaecrista_latistipula,early_perennial,2.29649
Chamaecrista_leptadenia,annual,9.22292
Chamaecrista_lineata,annual,5.09662
Chamaecrista_mimosoides,annual,11.0349
Chamaecrista_mucronata,late_perennial,12.2588
Chamaecrista_multinervia,late_perennial,2.65498
Chamaecrista_nictitans,annual,9.77817
Chamaecrista_nigricans,annual,6.38003
Chamaecrista_olesiphylla,late_perennial,12.67438
Chamaecrista_oligandra,late_perennial,20.5982
Chamaecrista_parvistipula,late_perennial,16.85449
Chamaecrista_pascuorum,annual,14.93539
Chamaecrista_pilosa,annual,13.44154
Chamaecrista_potentilla,late_perennial,14.5171
Chamaecrista_pumila,annual,11.93555
Chamaecrista_ramosa,early_perennial,2.29649
Chamaecrista_repens,annual,16.15051
Chamaecrista_roraimae,annual,25.82835
Chamaecrista_rossicorum,late_perennial,9.92931
Chamaecrista_rotundata,late_perennial,12.67438
Chamaecrista_rotundifolia,annual,13.44154
Chamaecrista_rufa,annual,4.43537
Chamaecrista_serpens,annual,2.34252
Chamaecrista_simplifacta,late_perennial,16.03449
Chamaecrista_supplex,annual,2.34252
Chamaecrista_swainsonii,late_perennial,25.04878
Chamaecrista_tenuisepala,annual,24.18317
Chamaecrista_tragacanthoides,late_perennial,12.2588
Chamaecrista_trichopoda,annual,5.0248
Chamaecrista_ulmea,late_perennial,11.43996
Chamaecrista_unijuga,late_perennial,9.35783
Chamaecrista_venulosa,annual,24.18317
Chamaecrista_wittei,annual,6.38003
